Feature,UTR5_195 (n=123) Mean,UTR5_195 (n=123) Median,UTR5_195 (n=123) Std,UTR5_195 (n=123) Min,UTR5_195 (n=123) Max,UTR5_N195 (n=103) Mean,UTR5_N195 (n=103) Median,UTR5_N195 (n=103) Std,UTR5_N195 (n=103) Min,UTR5_N195 (n=103) Max
MFE (kcal/mol),-9.8517985669829,-9.300000190734863,5.797609749993324,-50.099998474121094,-0.5,-20.58584022469225,-11.25,18.7478952463506,-73.19999694824219,-0.8999999761581421
Length,51.201438848920866,50.0,12.056927234274555,33.0,133.0,71.89380530973452,50.0,35.13006498785038,30.0,148.0
GC Content,0.5200264182274884,0.5,0.08738898955349572,0.32,0.8461538461538461,0.5913025914165182,0.5531914893617021,0.13149992024815155,0.32,0.8461538461538461
Paired Percentage,0.47515058796353926,0.48,0.10480258057005809,0.2,0.68,0.4924726048895199,0.509090909090909,0.09966110372577837,0.28,0.68
Stem Count,3.4532374100719423,3.0,1.352977114785339,1.0,11.0,4.769911504424779,4.0,2.625635530508983,1.0,11.0
Loop Count,3.4532374100719423,3.0,1.352977114785339,1.0,11.0,4.769911504424779,4.0,2.625635530508983,1.0,11.0
Stem Length,3.5375,3.0,1.5064617762602983,1.0,10.0,3.8933209647495364,4.0,1.8422811721856664,1.0,12.0
Loop Size,15.639583333333333,12.0,14.27298204626684,3.0,128.0,22.678107606679035,12.0,28.0283004233082,3.0,128.0
