Feature,UTR3_195 (n=59) Mean,UTR3_195 (n=59) Median,UTR3_195 (n=59) Std,UTR3_195 (n=59) Min,UTR3_195 (n=59) Max,UTR3_N195 (n=61) Mean,UTR3_N195 (n=61) Median,UTR3_N195 (n=61) Std,UTR3_N195 (n=61) Min,UTR3_N195 (n=61) Max
MFE (kcal/mol),-27.35316450384599,-25.200000762939453,17.976974107000967,-86.19999694824219,0.0,-22.7900552802323,-22.100000381469727,16.855502654531534,-104.9000015258789,0.0
Length,121.83544303797468,111.0,51.867511447832726,39.0,245.0,104.51381215469613,110.0,50.11452163632456,39.0,248.0
GC Content,0.48129482323935163,0.49523809523809526,0.13839051558577248,0.18333333333333332,0.7025316455696202,0.49048138333778823,0.4714285714285714,0.12553527127416386,0.25333333333333335,0.7172995780590717
Paired Percentage,0.4888303905300842,0.5223880597014925,0.11885813356377754,0.0,0.6440677966101694,0.4480116780882188,0.4727272727272727,0.15980950581604692,0.0,0.6666666666666666
Stem Count,7.632911392405063,7.0,4.000560768255261,0.0,19.0,6.165745856353591,6.0,3.8486760472435813,0.0,20.0
Loop Count,7.632911392405063,7.0,4.000560768255261,0.0,19.0,6.165745856353591,6.0,3.8486760472435813,0.0,20.0
Stem Length,4.069651741293533,4.0,1.87816052119953,1.0,12.0,4.079749103942652,4.0,1.8340424654320733,1.0,14.0
Loop Size,36.91542288557214,22.0,41.01176239007828,3.0,222.0,31.89605734767025,22.0,33.770439750511805,3.0,225.0
